,NOM_COM,Comuna,localizacion,loc
0,SUR,"Comuna Sur, Bucaramanga, Colombia","[7.08341312, -73.13253021]",
1,PROVENZA,"Comuna Provenza, Bucaramanga, Colombia","[7.08495522, -73.11476898]",
2,LA CIUDADELA,"Comuna La ciudadela, Bucaramanga, Colombia","[7.10144615, -73.1252594]",
3,LA CONCORDIA,"Comuna La concordia, Bucaramanga, Colombia","[7.10765362, -73.11735535]",
4,CENTRO,"Comuna Centro, Bucaramanga, Colombia","[7.11813021, -73.12631226]",
5,CABECERA DEL LLANO,"Comuna Cabecera del llano, Bucaramanga, Colombia","[7.11298704, -73.10932922]",
6,ORIENTAL,"Comuna Oriental, Bucaramanga, Colombia","[7.12733507, -73.11335754]",
7,OCCIDENTAL,"Comuna Occidental, Bucaramanga, Colombia","[7.12566376, -73.14520264]",
8,SAN FRANCISCO,"Comuna San francisco, Bucaramanga, Colombia","[7.1331625, -73.12514496]",
9,NORORIENTAL,"Comuna Nororiental, Bucaramanga, Colombia","[7.1465044, -73.126091]",
10,NORTE,"Comuna Norte, Bucaramanga, Colombia","[7.1560154, -73.13822937]",
11,SUROCCIDENTE,"Comuna Suroccidente, Bucaramanga, Colombia","[7.09439564, -73.12322998]",
12,GARCIA ROVIRA,"Comuna Garcia rovira, Bucaramanga, Colombia","[7.10379219, -73.14853668]",
13,MORRORICO,"Comuna Morrorico, Bucaramanga, Colombia","[7.13341808, -73.10406494]",
14,LA PEDREGOSA,"Comuna La pedregosa, Bucaramanga, Colombia","[7.09537268, -73.10890198]",
15,MUTIS,"Comuna Mutis, Bucaramanga, Colombia","[7.09312868, -73.13474274]",
16,LAGOS DEL CACIQUE,"Comuna Lagos del cacique, Bucaramanga, Colombia","[7.10140657, -73.10010529]",
17,SIN REGISTRO,"Comuna Centro, Bucaramanga, Colombia","[7.11813021, -73.12631226]",
18,CORREGIMIENTO 1,"Comuna Centro, Bucaramanga, Colombia","[7.11813021, -73.12631226]",
19,CORREGIMIENTO 3,"Comuna Centro, Bucaramanga, Colombia","[7.11813021, -73.12631226]",
20,CORREGIMIENTO 2,"Comuna Corregimiento 2, Bucaramanga, Colombia","[7.12551689, -73.11826324]",
